API_Name,Context,Endpoint
RandomUserAPI,randomuser,https://randomuser.me/api
CatFactsAPI,catfacts,https://catfact.ninja/fact
JSONPlaceholderAPI,jsonplaceholder,https://jsonplaceholder.typicode.com
BoredAPI,boredapi,https://www.boredapi.com/api/activity
ChuckNorrisJokesAPI,getrandomjokes,https://api.chucknorris.io/jokes/random
AdviceSlipAPI,getrandomlifeadvice,https://api.adviceslip.com/advice
NumbersAPI,numbersapi,http://numbersapi.com/random/
IPifyAPI,GetyourpublicIPaddress,https://api.ipify.org?format=json
DogCEOAPI,randomdogimage,https://dog.ceo/api/breeds/image/random
CatAPI,randomcatimage,https://api.thecatapi.com/v1/images/search
QuotesAPI,randomquote,https://api.quotable.io/random
JokeAPI,randomjoke,https://v2.jokeapi.dev/joke/Any
AgifyAPI,agify,https://api.agify.io?name=michael
GenderizeAPI,genderize,https://api.genderize.io?name=lucas
NationalizeAPI,nationalize,https://api.nationalize.io?name=nathan
CoinGeckoAPI,coingecko,https://api.coingecko.com/api/v3/simple/price?ids=bitcoin&vs_currencies=usd
SpaceXAPI,spacex,https://api.spacexdata.com/v4/launches/latest
ExchangeRateAPI,exchangerate,https://api.exchangerate-api.com/v4/latest/USD
IPGeoLocationAPI,ipgeolocation,https://ipapi.co/json/
FunTranslationsAPI,yodatranslate,https://api.funtranslations.com/translate/yoda.json?text=Hello%20world
FoodFactAPI,foodfact,https://world.openfoodfacts.org/api/v0/product/737628064502.json
DogFactsAPI,dogfact,https://dog-api.kinduff.com/api/facts
